customer_id;frequency;monetary;recency;R;F;M;RFM;description_eng;label_eng;year
16446.0;3;168472.5;7;3;1;3;313;recently active, one-time, high CFs;drifting;2011
15344.0;18;382.19;7;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
12713.0;24;508.96;7;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
16954.0;32;1326.08;7;3;2;3;323;recently active, rare, high CFs;loyal;2011
12680.0;37;626.01;7;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
14441.0;43;1428.01;7;3;2;3;323;recently active, rare, high CFs;loyal;2011
12526.0;48;910.22;7;3;2;3;323;recently active, rare, high CFs;loyal;2011
15694.0;50;5160.57;7;3;2;3;323;recently active, rare, high CFs;loyal;2011
17490.0;55;1457.78;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17754.0;64;936.79;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
12423.0;67;1049.21;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
12985.0;67;1106.6;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
12518.0;81;1336.91;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13777.0;108;13470.380000000001;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17001.0;110;2318.31;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
14051.0;117;9541.98;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13426.0;119;2329.77;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
12662.0;126;2141.0;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13113.0;127;8958.49;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
16626.0;139;3685.86;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
16705.0;156;7652.1900000000005;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
14422.0;178;3514.31;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17389.0;193;28636.059999999998;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
14446.0;196;692.0;7;3;3;2;332;recently active, frequent, moderate CFs;loyal;2011
15910.0;208;928.6;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17428.0;211;12020.66;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
15804.0;213;3416.24;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
12433.0;214;6751.24;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13069.0;230;2632.52;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
18102.0;256;139306.52;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17581.0;288;7268.05;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17364.0;324;3516.16;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
16558.0;325;5819.83;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
15311.0;1492;36070.76;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
12748.0;3035;22499.36;7;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13298.0;2;360.0;8;3;1;2;312;recently active, one-time, moderate CFs;drifting;2011
13436.0;9;147.6;8;3;1;1;311;recently active, one-time, low CFs;drifting;2011
17436.0;9;216.29999999999998;8;3;1;1;311;recently active, one-time, low CFs;drifting;2011
17668.0;10;190.15;8;3;1;1;311;recently active, one-time, low CFs;drifting;2011
15898.0;10;212.77;8;3;1;1;311;recently active, one-time, low CFs;drifting;2011
13404.0;10;237.49;8;3;1;1;311;recently active, one-time, low CFs;drifting;2011
14569.0;11;225.43999999999997;8;3;1;1;311;recently active, one-time, low CFs;drifting;2011
13318.0;12;521.62;8;3;1;2;312;recently active, one-time, moderate CFs;drifting;2011
17830.0;14;234.3;8;3;1;1;311;recently active, one-time, low CFs;drifting;2011
17856.0;14;1373.03;8;3;1;3;313;recently active, one-time, high CFs;drifting;2011
12358.0;15;1109.92;8;3;1;3;313;recently active, one-time, high CFs;drifting;2011
15520.0;16;293.1;8;3;1;2;312;recently active, one-time, moderate CFs;drifting;2011
15208.0;19;407.65;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
13954.0;20;316.82;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
17631.0;32;414.38;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
17144.0;32;673.07;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
16322.0;33;291.1;8;3;2;1;321;recently active, rare, low CFs;loyal;2011
14129.0;36;796.11;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
16833.0;36;900.08;8;3;2;3;323;recently active, rare, high CFs;loyal;2011
16933.0;37;463.81;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
14138.0;37;816.12;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
13026.0;38;957.12;8;3;2;3;323;recently active, rare, high CFs;loyal;2011
16688.0;40;800.26;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
13314.0;46;576.85;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
15156.0;46;815.4499999999999;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
15399.0;47;754.17;8;3;2;2;322;recently active, rare, moderate CFs;loyal;2011
14251.0;62;2580.36;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
14621.0;63;1244.29;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17522.0;67;1021.61;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17405.0;68;799.83;8;3;3;2;332;recently active, frequent, moderate CFs;loyal;2011
13510.0;68;1048.17;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13860.0;70;1146.66;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
14135.0;70;3170.71;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17491.0;71;2348.4700000000003;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
16210.0;72;13420.59;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
16892.0;73;381.03999999999996;8;3;3;2;332;recently active, frequent, moderate CFs;loyal;2011
17554.0;73;1557.67;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
15237.0;75;1077.95;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
17451.0;75;1224.39;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
15187.0;75;4045.2599999999998;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13890.0;77;1291.0900000000001;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
14217.0;80;1652.08;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
16401.0;81;1430.6;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13077.0;82;350.26;8;3;3;2;332;recently active, frequent, moderate CFs;loyal;2011
16358.0;82;1509.94;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
16442.0;94;349.43;8;3;3;2;332;recently active, frequent, moderate CFs;loyal;2011
15796.0;94;2002.48;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
15877.0;95;402.98;8;3;3;2;332;recently active, frequent, moderate CFs;loyal;2011
15214.0;97;1437.18;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13924.0;97;1542.93;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
18210.0;106;2108.13;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
16891.0;108;445.82;8;3;3;2;332;recently active, frequent, moderate CFs;loyal;2011
17644.0;109;2039.71;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
13013.0;114;2695.36;8;3;3;3;333;recently active, frequent, high CFs;VIP;2011
